Comentario,Nota,sentimento
"Avant de regarder le film, je suis allé voir les commentaires négatifs dessu car Compulsion a une basse note de 3,6, et la plupart disait que c'était ENNUYANT?? Je ne comprend ABSOLUMENT pas. Ce film était vraimant trop bien, je le considère comme l'un des meilleurs que j'ai vu",5.0,positivo
"90
Très grand film de procès, avec un duo d'acteurs incroyable dans leur complémentarité, et un Orson Welles génial.",4.0,positivo
"Solamente por el extenso discurso final de Orson Welles sobre el valor de la vida humana, ya Compulsion merece 5 estrellas. Sin duda, es uno de los más entusiastas y memorables discursos en la historia del cine y que en la actualidad cae tan bien cuando hablamos tanto de justicia.",5.0,positivo
"Pese a que se me hizo algo pesada, esta pelicula cumple bastante bien en muchos aspectos, teniendo un buen manejo visual y con un monologo final muy bueno,
Lo que para mi levanta la pelicula son los actores, con un Orson Welles colosal y los actores que interpretaron a los acusados lo hicieron bastante bien y ambos logran construir de manera efectiva sus personajes y por ultimo me gustaron algunas desiciones en cuanto al final de la historia y en las escenas de juico me parecio que tomaron caminos atrevidos y sorprendentes",4.0,positivo
Fleischer loves a good murder yarn,4.0,positivo
"'IMPULSO CRIMINAL', muta de un film sobre un crimen perfecto ejecutado por dos burgueses (perfectamente podrían ser los eruditos de #filmtwitter), a un alegato anti pena de muerte con la aparición de un Orson Welles pletórico. El tercer acto mejora muchísimo el conjunto.",0.0,
"Este é um filme que há muito procurava ver, pelo menos desde que assisti a Rope (1948) de Hitchcock, baseado no mesmo caso verídico (de Leopold e Loeb). Compulsion é sem dúvida mais próximo dos eventos reais, tendo por base o romance de Meyer Levin. É o primeiro de três controversos filmes realizados por Richard Fleischer sobre crimes baseados em histórias verídicas (sendo os outros dois The Boston Strangler (1968) e 10 Rillington Place (1971)). Os três são em tudo diferentes uns dos outros.
Enquanto que no último há apenas uma tentativa de recontar com precisão os factos e acontecimentos dos vários crimes, no segundo o realizador procura estabelecer críticas à condução do processo de investigação policial e refletir sobre o estado mental do criminoso. Em Compulsion, o realizador divide o filme em duas partes, a primeira desenvolvendo as personagens de Artie e Judd e uma segunda em estilo courtroom drama em que Orson Welles toma o papel principal enquanto advogado destes, argumentando contra a pena de morte.
Apesar da brilhante performance de Orson Welles, não é um courtroom drama das dimensões quase épicas de Witness for the Prossecution (1957) ou Anatomy of a Murder (1958). Ainda assim tem alguns traços de originalidade e terá, sem dúvida, deixado a semente para muitos outros filmes do género. Apesar do interessante argumento contra a pena de morte, não é dramaticamente tão intenso quanto veio a ser, por exemplo, o quinto capítulo de Dekalog (1989) e apesar das brilhantes interpretações de Dillman e Stockwell, não é nada que se pareça com a brutalidade de, por exemplo, In Cold Blood (1969) sobre o mal e a sua natureza. Compulsion procura ser muita coisa, mas eu gostaria de o lembrar como um conto negro sobre a história dos Estados Unidos da América e o seu mais cruel crime.",4.0,positivo
"Dos niños crueles (Dean Stockwell y Bradford Dillman) matan por lo que común (y equivocadamente) se llama por las ideas, y que si seguimos al autor de esas ideas - Friedrich Nietzsche - podríamos decir que más bien matan por la voluntad de poder hacerlo. Pero en cualquier caso, lo hacen cruel aunque no impunemente. Digo niños porque ni cuando uno de ellos intenta violar puede hacerlo (es un niño sin fuerza).
Este clasicazo de Richard Fleischer transcurre en 1924, para evocar las infamias del juicio Leopold y Loeb, y aunque comienza como, digamos, La soga de Hitchock termina de una forma kantiana, nada más entra en escena Jonathan Wilk (un Orson Welles titánico, único y brutal en una de sus composiciones menos frecuentemente vindicadas) para salvarlos, no de la condena sino de la pena capital. La película deviene un alegato procedimentalista a la dignidad emocionante.",0.0,
أسم الفيلم الإكراه أو الإجبار وانا واللّٰه شفته مُكرهاً لإني قريت اسم أورسون ويلز توقعت من أخراجه لكن دريت انه من تمثيله فقط 💔,0.0,
"Masterclass en elipsis que juega su clímax emocional, por el contrario, a la exposición y la retórica.",0.0,
"Un geniale conflitto etico fra bene e male, dove lo spettatore stesso che vede dagli occhi di quest’ultimo, è costretto ad interrogarsi sul senso di una morale irreversibile, unicamente fine a se stessa (la pena di morte)
Qualche frase scollegata l’una dall’altra:
All’inizio pensavo potesse essere una copia di “rope”, mi sbagliavo, anzi, se vogliamo lo evolve.
Ho amato il personaggio della ragazza, la sua reazione alla tentata violenza, seppur immorale, è la sintesi dell’intero senso del film, non penso che nel cinema d’oggi sarebbe accettato tutto questo. 
Il personaggio di Orson Welles col suo monologo finale ha una funzione quasi divina.
Sicuramente Orson Welles ha messo le mani sulla sceneggiatura.
Ritmo e narrazione da far invidia al 90% dei film moderni.
L’infermità mentale è la peggior cosa che potessero mai sentirsi dire, vista la superiorità che tanto bramavano ad inizio film.
Nietzche pensando al come quei due individui hanno inteso il concetto di super uomo, si rivolterebbe nella tomba.",4.5,positivo
"Ptn Orson Welles, qu'est-ce que ce mec était fort",4.0,positivo
"Un remake non accreditato di Nodo alla gola di Hitchcock. Ritmato, intelligente, elegante e ironico.",4.0,positivo
dean stockwell orson welles et bradford dillman meilleur boysband au final,4.0,positivo
"85/100
La película en su conjunto es buena hasta ahí, pero si hablamos de los últimos 20 minutos, con el discurso de Orson Welles sobre la pena de muerte y la reflexión sobre la importancia de la vida aun a quienes no lo merecen es bestial, una de las actuaciones mas impresionantes y contenidas del cine. Maestro Welles que levanta una película mediana a una gran película con una actuación y una tranquilidad en su actuación que es simplemente genial.",4.0,positivo
GO READ THESE VIOLENT DELIGHTS BY MICAH NEMEREVER!!! NOW!!!!!!!!!!!!!,0.0,
"A distância tomada por Fleischer está, desde o início, centrada em Arthur e Judd e só focará no personagem de Welles, o advogado, quando este assumir a posição que eles ocupam no filme. Dito isto, o filme está mais no desenvolvimento psicológico dos personagens, na tensão que isso cria, do que em um jogo de gato e rato ou, mesmo, o jogo do tribunal. É um jogo dialético que, como nos outros filmes do Fleischer, nunca encontra uma saída perfeita,…",4.5,positivo
"Belum tahu bagaimana harus mem-parafrase kesaksian Diane Varsi, agak bermasalah buat saya. Berkompromi dengan mental mereka sebab memerhatikan ""akar""nya, ""humanis?"" Ia dapat beropini seperti itu. Tapi, memaklumi tindakan tersebut ... Horor dari imunitas status sosial materi Leopold dan Loeb masih sulit disederhanakan dengan fungsi Varsi dan Milner. Mau closure oleh Orson Welles atau bukan, rasanya tak memberi efek berbeda.",2.0,negativo
"Muchas curiosidades...
Una película que recupera el caso Leopold-Loeb, después de ""The Rope"", y le da un estilo muy a lo Hitchcock.
Una película de crímenes que acaba siendo un drama sobre la pena de muerte.
Un E.G. Marshall estupendo con un Orson Welles demasiado artificialmente envejecido.
Salud, donde estés, Dean Stockwell.",4.0,positivo
"O objeto que altera o destino? Para Judd Steiner (Dean Stockwell) essa pergunta soaria como retórica. Que destino? Perder o óculos foi um erro seu, nada mais.",5.0,positivo
"Weer zo een geschift waargebeurd verhaal. We zijn in de jaren 20. 1924 wanneer twee studenten recht voor de perfecte misdaad gaan uit een soort van intellectuele superioriteit. De film verliest geen tijd en binnen de eerste tien minuten weet je als kijker al welk soort vlees Judd Steiner en Arthur Strauss zijn en wat hun onderlinge verhouding is.
Regisseur van dienst is hier Richard Fleischer, de maker van andere geweldige films als 10 Rillington Place en The New Centurions. Fleischer aan het stuur levert ook hier weer een visueel boeiende en meeslepende film af.
Naar het einde toe pakt de film nog eens uit met een onvergetelijke monoloog van hun advocaat (gespeeld door Orson Welles).",4.0,positivo
"Los chetos no triunfan, contado desde tiempos inmemorables.",4.0,positivo
Prime Video,0.0,
meu novo gênero favorito,4.5,positivo
"Dos amigos inteligentes y cultos, envueltos en una relación enfermiza, deciden asesinar a un niño para demostrar que pueden cometer el crimen perfecto.
Con ecos de ""La soga"" (Alfred Hitchcock), ""Compulsión"" es una estupenda película de suspenso acerca de las relaciones de poder, la arrogancia juvenil y la fragilidad de la justicia. Uno de sus puntos más atractivos es el personaje de Jonathan Milk (Orson Welles, quien se roba la película en los últimos cuarenta minutos): está tan bien escrito e interpretado que resulta maravilloso ver cómo maneja al resto de los personajes e influye hasta en las creencias del espectador",4.5,positivo
"Le Génie du mal. On part du même scénario que l'excellent, La Corde de Hitchcock, pour en explorer d'autres aspects. Le scénario s'inspire d'un fait réel de deux jeunes qui tuent quelqu'un simplement pour prouver qu'ils peuvent le faire et en s'imaginant supérieur aux autres, ils pensent ne jamais être attrapés. Le film nous montre que de tels raisonnements dénués d'affect sont le fruit d'individus seuls et avec de gros problèmes affectifs. Mais le vrai sujet du film est un plaidoyer contre la peine de mort avec pour avocat un Orson Wells éblouissant. J'ai vraiment pris beaucoup de plaisir dans ce film très bavard mais aussi particulièrement intelligent. Je suis toujours pour la peine de mort mais ça n'en demeure pas moins une plaidoirie qui fait mouche.",4.0,positivo
Um clássico gay de domination kink com um dos melhores monólogos da história do cinema,4.0,positivo
Welles is sui generis,4.0,positivo
"-<강박충동>을 보면서 가장 먼저 연상된 것은 알프레드 히치콕의 <로프(1948)>였다. 물론 <로프>의 가장 큰 특징은 실내 한 장소만을 배경으로 찍은 '원테이크'라는 것이니 기본적으론 전혀 다른 영화인 게 맞지만, 이런 가정은 어떨까. <로프>의 두 주인공이 실내를 벗어난 영화. 그리고 <로프>의 두 주인공이 잡힌 이후에 어떻게 되었을까에 대한 리처드 플라이셔의 대답. 히치콕은 두 주인공이 잡히는 순간 영화를 마무리한다. 물론 그것으로도 충분한 걸작 서스펜스 영화이지만 어떤 관객은 궁금했을 것이다. 이후에 저 둘은 어떻게 될까? 리처드 플라이셔도 궁금했던 것 같다.(오로지 내 추측이지만)
-<강박충동>의 진행은 리처드 플라이셔가 이후에 만든 걸작 <보스톤 교살자>에도 영향을 준 것 같다. 절반의 범죄 이야기, 그리고 절반의 잡힌 이후의 이야기. 차이점이라면 <강박충동>의 경우는 그것이 재판의 형태로, <보스톤 교살자>의 경우는 그것이 심문의 형태로 이루어져 있다는 점일까. (물론 그 외에도 두 영화 사이에는 많은 차이점들이 있다. 내가 말하고 싶은 부분은 오로지 큰 구조 부분에서만이다.) 플라이셔는 많은 범죄 영화들과 달리 범죄자가 잡힌 이후에 범죄 과정 이상으로 흥미를 가졌던 것 같다.
-인물에 관한 단상.
저드가 대화를 나누는 장면이 있는 가족은 형 뿐이다. 하지만 저드는 형조차 '열등한 인간' 중 한 명쯤으로 생각하는 듯 하다. 그가 대신 형의 역할에 새겨둔 것은 물론 아티일 것이다.
-가장 인상 깊었던 장면들.
⑴오프닝에서 아티가 고개를 돌리는 숏. 적절한 빛과 그림자가 더해졌을 때 단지 고개를 돌리는 모습이 이렇게까지 섬뜩해보일 수가 있다니. 이후 오프닝 크레딧이 오르는 순간까지 '와 이 영화 장난 아니겠구나' 하는 직감이 들었다.
⑵두 인물 모두, 특히 저드의 경우 많은 상황에서 불안감에 휩쌓여 있는 인물이다. 더치앵글이 적용된 많은 숏들이 인상적이었다.
⑶아티의 대사 ""너 내가 명령해주길 바라는구나"" - 저드의 얼굴 - (디졸브) - 루스와의 공원 데이트.",4.0,positivo
"Contrairement à ce que peut laisser supposer le titre français, il ne s'agit pas de sonder un mal qui serait universel, mais plutôt d'élaborer une puissante diatribe envers la peine de mort. Tout le film est conçu ainsi, de sa présentation initiale jusqu'à son plaidoyer final, afin de mettre à mal les principaux arguments des partisans de l'exécution capitale. Pour que l'exercice de style soit efficace, il faut partir d'un cas extrême pour lequel toute défense crédible semble illusoire. C'est ainsi que l'on retrouve les principaux éléments de la célèbre affaire Leopold-Loeb (les noms ont toutefois été changés), dont une partie fut portée à l'écran par Hitchcock avec Rope, qui voyait deux jeunes gens de bonne famille investir tranquillement le crime car ils pensaient que leur statut socio-culturel les plaçait au-dessus des lois. Le principal mérite du film est de nous délivrer une analyse consciencieuse du sujet, privilégiant les joutes oratoires et les batailles d'idées aux théories explicatives (tant sur le plan social que psychiatrique) et aux représentations lourdement démonstratives (Shock corridor, Jacob's Ladder).

Ainsi, les causes psychologiques ne sont pas écartées, loin de là, mais simplement sous-entendues, Fleischer s'employant surtout à souligner la déraison qui gagne ses personnages, mettant en avant leur isolement (social, affectif...) et leur enfermement dans un univers fictif, purement intellectuel dirons-nous, dans lequel ils pourraient jouir d'une toute-puissance. C'est d'ailleurs sur une impression de flottement, de rêve éveillé, que s'ouvre le film, avec une séquence nocturne au cours de laquelle Judd et Arthur viennent défier le commun des mortels entre deux envolées de jazz. Les voir foncer sur la route, les cheveux au vent, au volant de leur décapotable renvoie l'image de l'insoumission, de la liberté totale, renforçant l'idée du ""tout est possible"". La réalité devient alors pour eux une matière malléable, soumise à leur désir, comme le montre leur tentative d'écraser un pauvre pochtron croisé en chemin. Ils se sentent tellement jeunes, intelligents, riches, invincibles, qu'ils ne peuvent que mépriser les autres, les ""médiocres"", leur bien, leur loi ou leur vie.

Se montrant parfois insistante, avec ces cadrages obliques sur les visages ou ces plans sur des animaux empaillés, la mise en scène se pare généralement de précision et de sobriété afin de rendre compte des troubles des personnages : le jeu sur les luminosités révèle des visages contrastés, des identités troubles, rappelant la perversion de The Servant ou la folie de Gaslight ; un simple reflet visible sur une paire de lunettes renvoie l'image d'une monstruosité sous-jacente (comme dans Strangers on a Train) ; les espaces clos (bureau, maison..) sont propices à l'exacerbation des tensions et des conflits internes (avec la famille, le frère...). Mais plus que l'image, c'est la parole qui trahit nos jeunes gens : le recours à Nietzsche, dans le simple but de rabaisser un professeur, témoigne d'une incapacité à évoluer en société ; les ordres de viol démontrent l’impossibilité pour eux d'investir pleinement la sphère affective... Le verbe révèle alors avec éloquence la déraison qui s'empare d'eux, le rapport caduc qu'ils entretiennent avec la réalité : le compromis est refusé, les arguments avancés ne sont que des croyances envers des modèles purement intellectuels, la relation à l'autre ne s'établit que sur un rapport de domination.

La grande habileté de Fleischer sera de nous montrer des personnages complexes, non caricaturaux, qui ne vont cesser de s'enfermer dans leurs illusions : penser que l'on peut vivre une liberté totale, sans se soucier du réel, relève de la folie pure. Le principe de réalité, en reprenant ses droits, ne fera que mettre en lumière leur dimension pitoyable : Arthur, se pensant intouchable, vient narguer la police pendant l'enquête, alors qu'une simple paire de lunettes va le compromettre ; Judd pense vivre une grande relation avec son compère (il faut voir la subtile prestation de Dean Stockwell à ce niveau), alors qu'il est profondément passif, attendant les ordres sans pouvoir forcément les concrétiser (la séquence du viol). Nos deux jeunes hommes pensent commettre le meurtre parfait, mais celui ne sera que minable et odieux. On appréciera d'ailleurs le recours à l'ellipse qui laisse le crime en hors champ afin de laisser toute la place à l'écran au cynisme et à la désillusion.

Si les pensées de nos jeunes meurtriers s'avèrent dangereusement illusoires, celles qui guident les défenseurs de la peine capitale le sont tout autant : quels effets dissuasifs peut avoir la potence envers des hommes qui ont un rapport au réel altéré ? Où se situe la différence entre l'application aveugle de la justice et un crime minable ? La réflexion conduite par Compulsion trouve alors sa conclusion au sein d'un tribunal, symbole de justice et de vérité, et prend la forme d'un impressionnant plaidoyer. Orson Welles, qui tient le rôle de l'avocat, s'en donne à cœur joie, dominant le devant de la scène par sa corpulence et sa voix grave, faisant admirer sa verve et son éloquence sans être gêné par la partie adverse. Tout cela est terriblement démonstratif, certes, mais il y a certains discours qui doivent être prononcés, histoire de donner tout son sens à une démarche artistique. C'est une manière comme une autre de faire rejoindre l'exercice théorique au réel.",4.0,positivo
"Sono arrivato a questo film incuriosito dalla presenza del grandissimo Orson Welles, ma che bella sorpresa!
Un film che riflette seriamente sulla natura umana (cosa ci rende malvagi?) e sulla nostra società (quali responsabilità ha nelle nostre colpe?) facendo al contempo buon cinema.
Un film ricco, vario, ma allo stesso tempo di una coerenza granitica.",4.0,positivo
Vibes di Nodo alla gola e qualche consonanza coi fatti di cronaca attuali. Orson Welles compare a mezz'ora dalla fine che è comunque più di quanto si veda nel Terzo uomo,0.0,
leitor mais fraco de nietzsche,4.0,positivo
Mas ainda prefiro a abordagem de Swoon.,4.0,positivo
K. Cameron,5.0,positivo
76/100,4.0,positivo
"Um otimo filme que busca bastante inspiração em ""ROPE"" do Hitchcock, mas que ainda consegue criar uma trama bem interessante com seus personagens secundarios e a dulpa de protagonistas.
Uma forte critica a nossa forma de pensar de como condenamos pessoas a morte, sendo ricos ou pobres. No filme sabemos que eles são culpados e que não se arrependem do crime que cometeram. Mas sera que tirando a vida deles nos tornaremos melhor que eles ou semelhantes? Acho que suas ligações com ""ROPE"" nós deixam bem situados da maneira de pensar dos dois e seu pensamento de Intelectuo Superior. Juntamente, o relacionamento dos protagonistas é identico, com um sub-texto que deixa à nos se questionar.",4.0,positivo
"4.25, schegge di paura prende da qua",4.0,positivo
"Inspiré d'une affaire criminelle célèbre aux États-Unis, ce film, sur un thème voisin de La Corde, est plutôt lourd et ennuyeux et Welles en rajoute dans la surcharge.",1.0,negativo
"L'arringa finale tenuta da Orson Welles andrebbe distribuita per posta alle persone che ancora ammettono la possibilità della pena di morte in determinati contesti e circostanze.
Mai vista una così strenua difesa del diritto alla vita in un'opera cinematografica.",4.0,positivo
"Que película más lenta, ambos gritan gay panic y no te hacen empatizar en ningún momento con los personajes solo te dan asco y ganas de que se pudran en la cárcel es increíble. El discurso final está bueno pero 10 minutos no hacían falta",2.0,negativo
crazy monologues imo,4.0,positivo
"Frenesia del delitto
Stessa ispirazione di 'Nodo alla gola': due giovanotti ricchi vanno per noia alla ricerca del delitto perfetto. Ammirevole thriller dal ritmo serratissimo e dai dialoghi estremamente brillanti: ne esce una visione parecchio pessimista persino nel rimbalzo finale.
Più che il gigioneggiante Welles dell'ultima mezzora, a trascinatre il tutto contribuiscono le brillantissime interpretazioni di Stockwell e Dillman.",4.0,positivo
"Storia trita e ritrita, forse me lo sono rovinato conoscendo gia' le vicende di Leopold e Loeb, ma non ci ho visto nulla di piu' di una messa in scena di quanto dice wikipedia, roba che un modello text-to-image farebbe pure meglio. Fastidiose le performance dei killer. Bello Orson Welles nei panni dell'avvocato difensore, ma molto meglio vedersi Rope di Hitchcock.",2.5,negativo
"Orson Welles è il primo nome a campeggiare sullo schermo durante i titoli di testa, ma già sai che, se va bene, lo vedrai nell'ultima mezz'ora e così è. Ora, non pretendo la prima inquadratura di Harry Lime - anche perché è insuperabile -, ma davvero non si riusciva a trovare qualcosa di meglio di un frettoloso ingresso in campo dalla porta a sinistra in un totale di una stanza affollata?
Per il resto, si assiste a una godibile trasposizione del caso Leopold e Loeb che già ispirò Nodo alla gola, con un'affiatata coppia di interpreti: come è abile Stockwell a restituire la fragilità interiore del suo personaggio, lo è Dillman a misurare il ruolo dell'euforica mente perversa. Innegabilmente, è la tensione morbosa tra i due a dare solidità alla struttura del thriller. Peccato che, al di là della sua infelice entrata in scena, sia proprio l'ingombrante presenza di Welles a sgonfiare lentamente il film, oscurandone i protagonisti e accomodandolo sui binari di un legal drama piuttosto pedante.",0.0,
Il monologo di Orson Welles vale tutto il film,4.5,positivo
Murder By Numbers was better.,4.0,positivo
"La scrittura di questo film è pazzesca, per non parlare delle scene ambientate in tribunale che sono veramente eccezionali.",4.5,positivo
increible minutos finales con un enorme Orson Welles,4.0,positivo
